dataset,time,group,amount
2025-01,0,A,67
2025-01,1,A,60
2025-01,2,A,67
2025-01,3,A,57
2025-01,4,A,56
2025-01,5,A,34
2025-01,6,A,18
2025-01,7,A,23
2025-01,8,A,9
2025-01,9,A,25
2025-01,10,A,39
2025-01,11,A,45
2025-01,12,A,41
2025-01,13,A,39
2025-01,14,A,30
2025-01,15,A,34
2025-01,16,A,60
2025-01,17,A,51
2025-01,18,A,-9
2025-01,19,A,41
2025-01,20,A,33
2025-01,21,A,55
2025-01,22,A,25
2025-01,23,A,38
2025-01,24,A,33
2025-01,25,A,26
2025-01,26,A,62
2025-01,27,A,7
2025-01,28,A,46
2025-01,29,A,74
2025-01,30,A,53
2025-01,31,A,0
2025-01,32,A,48
2025-01,33,A,7
2025-01,34,A,34
2025-01,35,A,46
2025-01,36,A,37
2025-01,37,A,66
2025-01,38,A,42
2025-01,39,A,56
2025-01,40,A,31
2025-01,41,A,-7
2025-01,42,A,42
2025-01,43,A,12
2025-01,44,A,12
2025-01,45,A,38
2025-01,46,A,14
2025-01,47,A,21
2025-01,48,A,14
2025-01,49,A,74
2025-01,50,A,18
2025-01,51,A,41
2025-01,52,A,64
2025-01,53,A,74
2025-01,54,A,11
2025-01,55,A,37
2025-01,56,A,20
2025-01,57,A,51
2025-01,58,A,38
2025-01,59,A,0
2025-01,60,A,63
2025-01,61,A,34
2025-01,62,A,22
2025-01,63,A,43
2025-01,64,A,39
2025-01,65,A,82
2025-01,66,A,14
2025-01,67,A,15
2025-01,68,A,41
2025-01,69,A,15
2025-01,70,A,29
2025-01,71,A,70
2025-01,72,A,39
2025-01,73,A,0
2025-01,74,A,54
2025-01,75,A,23
2025-01,76,A,4
2025-01,77,A,34
2025-01,78,A,29
2025-01,79,A,66
2025-01,80,A,25
2025-01,81,A,15
2025-01,82,A,15
2025-01,83,A,46
2025-01,84,A,57
2025-01,85,A,16
2025-01,86,A,23
2025-01,87,A,37
2025-01,88,A,46
2025-01,89,A,21
2025-01,90,A,34
2025-01,91,A,19
2025-01,92,A,22
2025-01,93,A,48
2025-01,94,A,30
2025-01,95,A,29
2025-01,96,A,45
2025-01,97,A,71
2025-01,98,A,33
2025-01,99,A,3
2025-01,0,B,39
2025-01,1,B,31
2025-01,2,B,-5
2025-01,3,B,85
2025-01,4,B,78
2025-01,5,B,60
2025-01,6,B,43
2025-01,7,B,18
2025-01,8,B,48
2025-01,9,B,31
2025-01,10,B,76
2025-01,11,B,56
2025-01,12,B,33
2025-01,13,B,43
2025-01,14,B,80
2025-01,15,B,64
2025-01,16,B,60
2025-01,17,B,29
2025-01,18,B,75
2025-01,19,B,49
2025-01,20,B,53
2025-01,21,B,52
2025-01,22,B,43
2025-01,23,B,49
2025-01,24,B,28
2025-01,25,B,57
2025-01,26,B,68
2025-01,27,B,48
2025-01,28,B,42
2025-01,29,B,65
2025-01,30,B,57
2025-01,31,B,41
2025-01,32,B,75
2025-01,33,B,46
2025-01,34,B,27
2025-01,35,B,54
2025-01,36,B,52
2025-01,37,B,40
2025-01,38,B,80
2025-01,39,B,70
2025-01,40,B,59
2025-01,41,B,40
2025-01,42,B,62
2025-01,43,B,74
2025-01,44,B,46
2025-01,45,B,48
2025-01,46,B,57
2025-01,47,B,62
2025-01,48,B,64
2025-01,49,B,77
2025-01,50,B,20
2025-01,51,B,43
2025-01,52,B,47
2025-01,53,B,26
2025-01,54,B,59
2025-01,55,B,26
2025-01,56,B,48
2025-01,57,B,34
2025-01,58,B,68
2025-01,59,B,21
2025-01,60,B,44
2025-01,61,B,64
2025-01,62,B,23
2025-01,63,B,53
2025-01,64,B,51
2025-01,65,B,98
2025-01,66,B,82
2025-01,67,B,66
2025-01,68,B,64
2025-01,69,B,88
2025-01,70,B,70
2025-01,71,B,40
2025-01,72,B,55
2025-01,73,B,72
2025-01,74,B,9
2025-01,75,B,54
2025-01,76,B,45
2025-01,77,B,72
2025-01,78,B,15
2025-01,79,B,49
2025-01,80,B,78
2025-01,81,B,70
2025-01,82,B,65
2025-01,83,B,46
2025-01,84,B,43
2025-01,85,B,53
2025-01,86,B,40
2025-01,87,B,85
2025-01,88,B,78
2025-01,89,B,78
2025-01,90,B,54
2025-01,91,B,56
2025-01,92,B,81
2025-01,93,B,41
2025-01,94,B,67
2025-01,95,B,88
2025-01,96,B,48
2025-01,97,B,75
2025-01,98,B,19
2025-01,99,B,46
2025-01,0,C,33
2025-01,1,C,12
2025-01,2,C,10
2025-01,3,C,58
2025-01,4,C,35
2025-01,5,C,5
2025-01,6,C,38
2025-01,7,C,17
2025-01,8,C,76
2025-01,9,C,35
2025-01,10,C,33
2025-01,11,C,34
2025-01,12,C,27
2025-01,13,C,31
2025-01,14,C,32
2025-01,15,C,26
2025-01,16,C,23
2025-01,17,C,28
2025-01,18,C,71
2025-01,19,C,32
2025-01,20,C,52
2025-01,21,C,8
2025-01,22,C,97
2025-01,23,C,78
2025-01,24,C,40
2025-01,25,C,31
2025-01,26,C,31
2025-01,27,C,74
2025-01,28,C,45
2025-01,29,C,6
2025-01,30,C,33
2025-01,31,C,45
2025-01,32,C,34
2025-01,33,C,28
2025-01,34,C,65
2025-01,35,C,31
2025-01,36,C,9
2025-01,37,C,63
2025-01,38,C,22
2025-01,39,C,57
2025-01,40,C,23
2025-01,41,C,27
2025-01,42,C,39
2025-01,43,C,28
2025-01,44,C,44
2025-01,45,C,53
2025-01,46,C,33
2025-01,47,C,59
2025-01,48,C,24
2025-01,49,C,50
2025-01,50,C,61
2025-01,51,C,52
2025-01,52,C,32
2025-01,53,C,32
2025-01,54,C,40
2025-01,55,C,62
2025-01,56,C,45
2025-01,57,C,28
2025-01,58,C,27
2025-01,59,C,32
2025-01,60,C,66
2025-01,61,C,27
2025-01,62,C,38
2025-01,63,C,-7
2025-01,64,C,35
2025-01,65,C,20
2025-01,66,C,-2
2025-01,67,C,33
2025-01,68,C,43
2025-01,69,C,22
2025-01,70,C,32
2025-01,71,C,46
2025-01,72,C,33
2025-01,73,C,23
2025-01,74,C,31
2025-01,75,C,38
2025-01,76,C,49
2025-01,77,C,-2
2025-01,78,C,47
2025-01,79,C,22
2025-01,80,C,25
2025-01,81,C,50
2025-01,82,C,23
2025-01,83,C,20
2025-01,84,C,30
2025-01,85,C,52
2025-01,86,C,34
2025-01,87,C,28
2025-01,88,C,21
2025-01,89,C,45
2025-01,90,C,26
2025-01,91,C,13
2025-01,92,C,57
2025-01,93,C,-7
2025-01,94,C,42
2025-01,95,C,44
2025-01,96,C,47
2025-01,97,C,28
2025-01,98,C,76
2025-01,99,C,13
2025-01,0,D,62
2025-01,1,D,46
2025-01,2,D,41
2025-01,3,D,27
2025-01,4,D,45
2025-01,5,D,47
2025-01,6,D,44
2025-01,7,D,58
2025-01,8,D,32
2025-01,9,D,34
2025-01,10,D,31
2025-01,11,D,11
2025-01,12,D,98
2025-01,13,D,32
2025-01,14,D,69
2025-01,15,D,37
2025-01,16,D,-16
2025-01,17,D,21
2025-01,18,D,49
2025-01,19,D,32
2025-01,20,D,43
2025-01,21,D,55
2025-01,22,D,48
2025-01,23,D,4
2025-01,24,D,30
2025-01,25,D,29
2025-01,26,D,34
2025-01,27,D,31
2025-01,28,D,15
2025-01,29,D,33
2025-01,30,D,35
2025-01,31,D,6
2025-01,32,D,25
2025-01,33,D,19
2025-01,34,D,65
2025-01,35,D,10
2025-01,36,D,55
2025-01,37,D,44
2025-01,38,D,30
2025-01,39,D,26
2025-01,40,D,32
2025-01,41,D,42
2025-01,42,D,1
2025-01,43,D,21
2025-01,44,D,44
2025-01,45,D,18
2025-01,46,D,9
2025-01,47,D,24
2025-01,48,D,49
2025-01,49,D,45
2025-01,50,D,72
2025-01,51,D,28
2025-01,52,D,57
2025-01,53,D,27
2025-01,54,D,51
2025-01,55,D,37
2025-01,56,D,16
2025-01,57,D,31
2025-01,58,D,1
2025-01,59,D,-8
2025-01,60,D,-3
2025-01,61,D,54
2025-01,62,D,42
2025-01,63,D,30
2025-01,64,D,13
2025-01,65,D,38
2025-01,66,D,43
2025-01,67,D,25
2025-01,68,D,47
2025-01,69,D,75
2025-01,70,D,30
2025-01,71,D,37
2025-01,72,D,43
2025-01,73,D,53
2025-01,74,D,24
2025-01,75,D,29
2025-01,76,D,30
2025-01,77,D,46
2025-01,78,D,65
2025-01,79,D,37
2025-01,80,D,31
2025-01,81,D,28
2025-01,82,D,29
2025-01,83,D,41
2025-01,84,D,27
2025-01,85,D,23
2025-01,86,D,-9
2025-01,87,D,38
2025-01,88,D,22
2025-01,89,D,22
2025-01,90,D,54
2025-01,91,D,58
2025-01,92,D,17
2025-01,93,D,25
2025-01,94,D,47
2025-01,95,D,63
2025-01,96,D,31
2025-01,97,D,61
2025-01,98,D,23
2025-01,99,D,15
